"47","CS FLEMALLE","cs-flemalle","Rue Beau Site 25 ",,"Flémalle",,"4400",,,,,,,,"0","<p>POSITION : situé dans l'infirmerie au local des soins</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.4471631999","50.597482199","13","34","62","1","0",,"flémalle, 4400, cs, salle andre cools","619"
"48","SALLE LOUIS MELIN","salle-louis-melin","Rue du Passage d'eau 4 ",,"Flémalle",,"4400",,,,,,,,"0","<p>POSITION : situé dans le bureau à l'entrée de la salle à gauche</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.4858974999","50.6034563","11","34","62","1","0",,"flémalle, 4400, louis melin, cs ","618"
"49","IPPJ FRAIPONT","ippj-fraipont","Rue sur les bois 113",,"Fraipont",,"4870",,,,,,,,"0","<p>POSITION : situé dans le hall du château</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.7451384999","50.5547","13","34","62","1","0",,"fraipont, 4870, ippj","617"
"50","ADEPS CAMPANA","adeps-campana","Ile de Campana",,"Grivegnée",,"4030",,,,,,,,"0","<p>POSITION : situé à l'infirmerie</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6107399999","50.6216","13","34","62","1","0",,"grivegnée,4030, adeps, campana","616"
"51","SERVICES REGIONAUX INCENDIE","services-regionaux-incendie","Route de Poucet ",,"Hannut",,"4280",,,,,,,,"0","<p>POSITION : situé au bureau du commandant</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.0961906","50.6753301","14","34","62","1","0",,"hannut, 4280, sri, services regionaux incendie","615"
"52","STADE DUCARME","stade-ducarme","Avenue de Thouars	",,"Hannut",,"4280",,,,,,,,"0",,,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.0748916999","50.6721409","13","34","62","1","0",,"hannut, 4280, ducarme","614"
"53","COMMISARIAT HANNUT","commisariat-hannut","Rue de landen 19",,"Hannut",,"4280",,,,,,,,"0",,,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.0794812000","50.6731972","13","34","62","1","0",,"hannut, 4280, commisariat","613"
"54","PISCINE HANNUT","piscine-hannut","Avenue de Thouars	",,"Hannut",,"4280",,,,,,,,"0",,,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.0750526325","50.672344883","17","34","62","1","0",,"hannut, 4280, piscine","612"
"55","HOTEL VILLE HANNUT","hotel-ville-hannut","Rue de landen 23",,"Hannut",,"4280",,,,,,,,"0",,,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.0798498000","50.6734922","13","34","62","1","0",,"hannut, 4280, hotel de ville","611"
"56","PROV-LG CHÂTEAU DE HARZÉ","prov-lg-chateau-de-harze","Route de Bastogne 1",,"Harzé",,"4920",,,,,,,"10-chateau_de_harze.jpg","0","<p>POSITION : situé dans l'armoire à la réception du château</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.6667413000","50.436968099","12","34","62","1","0",,"harzé,4920, chateau du harze","610"
